EVTNAME90821250;The World's First Air-Line;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90821250;$COUNTRY_ADJ$ capitalists have come together to create a joint venture unlike any before it: they call it an 'Air-Line' and they intend to trade under the name '$COUNTRY_ADJ$ Airship Travel Corporation'. They plan to deliver mail, goods, and passengers to destinations all around $COUNTRY$ and, hopefully, the world.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90821250;The famous $COUNTRY_ADJ$ spirit of enterprise!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90821251;Commercial Aviation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90821251;Since the birth of mechanical flight, our nation has taken a leading role in the production of airplanes. As such, a booming civil aviation industry has sprung up in $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90821251;Excellent!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90821252;The $COUNTRY_ADJ$ Line;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90821252;Our country's rise as a major producer of steamships has been in part fuelled by the increasingly popular use of steam-powered ships to cross the Atlantic. In order to tap into that lucrative market, capitalists have come together in $COUNTRY$ and have founded a new transatlantic shipping line, the $COUNTRY$ Line.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90821252;May it sail forever!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90821253;$COUNTRY_ADJ$ Line Wins Blue Riband!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90821253;A ship of the $COUNTRY_ADJ$ Line, the SS $CAPITAL$, has won the Blue Riband, the prestigious award for the fastest crossing of the Atlantic! $COUNTRY$ has demonstrated to the world that it can produce ships of not only the most outstanding artistic quality, but also of the highest engineering standards.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90821253;Three hurrahs for the $COUNTRY_ADJ$ Line!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90821254;Unsinkable Ship Launched!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90821254;The $COUNTRY_ADJ$ Line has launched a new ship, christened Titanic due to her enormous size. She is the largest moving thing ever built by man! Not only that, but her innovative design makes her practically unsinkable, a fact that is sure to make her immensely profitable for the $COUNTRY_ADJ$ Line. Soon she will be ready for her sea trials and will be able to make her maiden voyage across the Atlantic.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90821254;Well she doesn't look any bigger than the Mauretania.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90821255;Titanic Sinks With Huge Loss of Life!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
